timestep,reward,baseline_cost,agent_cost,clip_pen,house_1_battery_P,house_1_pv_P,house_1_electrical_load_P,house_1_battery_SOC,house_1_heatpump_el_P,house_1_thermal_storage_SOC_th
2015-11-25 09:15:00,0.02004881456749819,-0.023520628711860676,-0.0034718141443624874,0.0,0.3330715373158455,0.0,0.15948083009772113,0.48923356271824536,0.0,0.7126465463101097
2015-11-25 09:30:00,-0.02023621217617196,-0.01618770015197712,-0.03642391232814908,0.0,-0.4641960933804512,0.09937529817842027,0.1555208094858131,0.5124433673872679,0.0,0.6702478559839321
2015-11-25 09:45:00,0.022629608937233026,-0.02282008052189618,-0.00019047158466315329,0.0,0.16184937208890915,0.0,0.15232579285575149,0.5043508987828225,0.0,0.628360797282887
2015-11-25 10:00:00,0.009527647379857193,-0.022564698000741318,-0.013037050620884125,0.0,-0.036122798919677734,0.0,0.15012078137866688,0.5061570387288064,0.0,0.5869853702069738
2015-11-25 10:15:00,-0.005709784420776128,-0.02037104084256402,-0.026080825263340147,0.0,-0.251145176589489,0.02728773265942744,0.14872577411765475,0.5187142975582808,0.0,0.54601035048986
2015-11-25 10:30:00,0.010223553669832837,-0.02101200705283135,-0.010788453382998513,0.0,0.6726419925689697,0.014876447419442732,0.14809577083848677,0.4850821979298323,0.0,0.5054357381315454
2015-11-25 10:45:00,0.0037070035244251114,-0.021871739871571393,-0.01816473634714628,0.0,1.0563325881958008,0.0,0.14809577083848677,0.4322655685200423,0.0,0.46526153313202984
2015-11-25 11:00:00,0.019229723490744928,-0.01949782512514889,-0.0002681016344039627,0.0,0.13015277683734894,0.03184307829782447,0.14859077341497526,0.42575792967817483,0.0,0.4254877354913135
2015-11-25 11:15:00,0.016755570999984648,-0.021703273352888283,-0.004947702352903636,0.0,0.3971458971500397,0.0,0.1497607795048579,0.40590063482067285,0.0,0.3859141415299967
2015-11-25 11:30:00,0.008962869505268334,-0.021098939186538247,-0.012136069681269913,0.0,0.7494246959686279,0.009299578842584002,0.1519207907477164,0.36842940002224145,0.0,0.3465407512480795
2015-11-25 11:45:00,0.008862757749282005,-0.01886621223782099,-0.010003454488538984,0.0,-0.03070034086704254,0.04331465765944158,0.1555208094858131,0.3699644170655936,0.0,0.30736756464556186
2015-11-25 12:00:00,0.006558294558818232,-0.018545176013949012,-0.01198688145513078,0.0,-0.06215278059244156,0.0514274524326404,0.16051583548492426,0.37307205609521565,0.0,0.2683945817224438
2015-11-25 12:15:00,0.010326906617623862,-0.022561866961239366,-0.012234960343615504,0.0,-0.008914284408092499,0.0,0.16587086335784326,0.3735177703156203,0.0,0.22944384365259238
2015-11-25 12:30:00,0.01693073880230837,-0.022909707712670573,-0.0059789689103622035,0.0,0.4691843315958977,0.0,0.17023588607778747,0.3500585537358254,0.0,0.19051535043600756
2015-11-25 12:45:00,0.010347102138572109,-0.023113024514714507,-0.012765922376142397,0.0,0.8108270168304443,0.0,0.17253089802332439,0.3095172028943032,0.0,0.15160910207268935
2015-11-25 13:00:00,-0.005395701457217135,-0.02310252206530826,-0.028498223522525394,0.0,-0.2353515848517418,0.0,0.17176589404147802,0.32128478213689027,0.0,0.11272509856263777
2015-11-25 13:15:00,0.018104109810413015,-0.022948322316658564,-0.004844212506245549,0.0,0.41078150272369385,0.0,0.1685708774114164,0.3007457070007056,0.0,0.07366313622645322
2015-11-25 13:30:00,0.012276218590338048,-0.022687256377029043,-0.010411037786690995,0.0,0.684397742152214,0.0,0.16384585281766426,0.2665258198930949,0.0,0.03442321506413572
2015-11-25 13:45:00,-0.06281313552770795,-0.02032867722472153,-0.07439181275242948,0.875,-0.05858719348907471,0.02956283742738565,0.15871582611587476,0.2694551795675486,0.875,0.20889193944572107
2015-11-25 14:00:00,0.015021178293073013,-0.022128032161795007,-0.007106853868721993,0.0,0.5091984942555428,0.0,0.1538558008194431,0.24399525485477147,0.0,0.16929610063113767
2015-11-25 14:15:00,0.013411231787245388,-0.021892906787217517,-0.00848167499997213,0.0,0.5735745280981064,0.0,0.14949077809949998,0.21531652844986615,0.0,0.12943332357735482
2015-11-25 14:30:00,0.011904925889406085,-0.021686055901664416,-0.00978113001225833,0.0,0.6345872581005096,0.0,0.14553075748759312,0.18358716554484067,0.0,0.08930360828437253
2015-11-25 14:45:00,0.010268139579330452,-0.0214885795286146,-0.011220439949284148,0.0,0.702727735042572,0.0,0.14170573757836463,0.14845077879271207,0.0,0.048906954752190805
2015-11-25 15:00:00,0.009124607044914806,-0.021306777822452123,-0.012182170777537317,0.0,0.7472142577171326,0.0,0.13810571884026676,0.11109006590685544,0.0,0.008243362980809639
2015-11-25 15:15:00,-0.0005327305655431665,-0.021261662940202323,-0.013044393505745489,0.875,0.8236972242593765,0.0,0.1350457029128835,0.06990520469388661,0.875,0.18073541325340917
2015-11-25 15:30:00,0.00703181479047324,-0.021251665515873173,-0.014219850725399934,0.0,0.8434732258319855,0.0,0.13248068956198875,0.02773154340228734,0.0,0.13900406852523023
2015-11-25 15:45:00,0.009602828292166014,-0.021324037735096994,-0.008470903714895405,0.3250305728035574,0.5546308680457468,0.0,0.13108568230097664,0.0,0.0,0.09673884731865243
2015-11-25 16:00:00,0.0032763945178618335,-0.021475631531923098,-0.009157097662693313,0.904213935136795,0.0,0.0,0.13081568089561874,0.0,0.0,0.053939749633675746
2015-11-25 16:15:00,0.0033208099469028193,-0.021689014693950417,-0.009245298121776754,0.9122906625270844,0.0,0.0,0.13207568745395362,0.0,0.0,0.010695754883366663
