action,reward,terminated,truncated,info
[ 0.16498703 -0.41591877 -0.9268044  -0.72760135],-6.2281911289588106,False,False,"{'iteration': 69, 'timestep': Timestamp('2015-07-28 14:00:00'), 'reward': -6.2281911289588106}"
[ 0.15801145 -0.41764513 -0.95942247 -0.7410689 ],-6.123278231372099,False,False,"{'iteration': 70, 'timestep': Timestamp('2015-07-28 14:15:00'), 'reward': -6.123278231372099}"
[ 0.15214674 -0.4163577  -0.9795276  -0.75522935],-5.760718852424547,False,False,"{'iteration': 71, 'timestep': Timestamp('2015-07-28 14:30:00'), 'reward': -5.760718852424547}"
[ 0.14629088 -0.41243103 -0.9943819  -0.7712276 ],-5.538913979266175,False,False,"{'iteration': 72, 'timestep': Timestamp('2015-07-28 14:45:00'), 'reward': -5.538913979266175}"
[ 0.14246842 -0.4123609  -1.         -0.7847487 ],-3.94364943332477,False,False,"{'iteration': 73, 'timestep': Timestamp('2015-07-28 15:00:00'), 'reward': -3.94364943332477}"
[ 0.1392593 -0.4082917 -1.        -0.7979219],-5.347706351656104,False,False,"{'iteration': 74, 'timestep': Timestamp('2015-07-28 15:15:00'), 'reward': -5.347706351656104}"
[ 0.13750155 -0.4002915  -1.         -0.7981863 ],-5.298551028691969,False,False,"{'iteration': 75, 'timestep': Timestamp('2015-07-28 15:30:00'), 'reward': -5.298551028691969}"
[ 0.1352019  -0.39396864 -1.         -0.7978551 ],-5.244146566370892,False,False,"{'iteration': 76, 'timestep': Timestamp('2015-07-28 15:45:00'), 'reward': -5.244146566370892}"
[ 0.12994194 -0.39235142 -1.         -0.79243284],-5.19329866043836,False,False,"{'iteration': 77, 'timestep': Timestamp('2015-07-28 16:00:00'), 'reward': -5.19329866043836}"
[ 0.13992639 -0.39659908 -1.         -0.7857534 ],-5.115243040447262,False,False,"{'iteration': 78, 'timestep': Timestamp('2015-07-28 16:15:00'), 'reward': -5.115243040447262}"
[ 0.15521921 -0.4092103  -1.         -0.7690905 ],-5.044282024674896,False,False,"{'iteration': 79, 'timestep': Timestamp('2015-07-28 16:30:00'), 'reward': -5.044282024674896}"
[ 0.16088092 -0.41260317 -1.         -0.7438305 ],-5.025948179694572,False,False,"{'iteration': 80, 'timestep': Timestamp('2015-07-28 16:45:00'), 'reward': -5.025948179694572}"
[ 0.17584512 -0.423273   -1.         -0.71519053],-4.999361513880416,False,False,"{'iteration': 81, 'timestep': Timestamp('2015-07-28 17:00:00'), 'reward': -4.999361513880416}"
[ 0.19629055 -0.43949842 -1.         -0.68218696],-4.9750410761527375,False,False,"{'iteration': 82, 'timestep': Timestamp('2015-07-28 17:15:00'), 'reward': -4.9750410761527375}"
[ 0.22826722 -0.46335837 -1.         -0.65067303],-4.937952642458238,False,False,"{'iteration': 83, 'timestep': Timestamp('2015-07-28 17:30:00'), 'reward': -4.937952642458238}"
[ 0.25797805 -0.4822158  -1.         -0.61747575],-4.929799788153641,False,False,"{'iteration': 84, 'timestep': Timestamp('2015-07-28 17:45:00'), 'reward': -4.929799788153641}"
[ 0.2916705  -0.50528014 -1.         -0.59076214],-4.90823541128273,False,False,"{'iteration': 85, 'timestep': Timestamp('2015-07-28 18:00:00'), 'reward': -4.90823541128273}"
[ 0.32409725 -0.5335169  -1.         -0.554323  ],-4.887003916696864,False,False,"{'iteration': 86, 'timestep': Timestamp('2015-07-28 18:15:00'), 'reward': -4.887003916696864}"
[ 0.36240923 -0.5595364  -1.         -0.52472234],-4.851713517420728,False,False,"{'iteration': 87, 'timestep': Timestamp('2015-07-28 18:30:00'), 'reward': -4.851713517420728}"
[ 0.3956294  -0.5829904  -1.         -0.49807718],-4.815138935536784,False,False,"{'iteration': 88, 'timestep': Timestamp('2015-07-28 18:45:00'), 'reward': -4.815138935536784}"
[ 0.42446595 -0.59978443 -1.         -0.4704867 ],-4.791638334007107,False,False,"{'iteration': 89, 'timestep': Timestamp('2015-07-28 19:00:00'), 'reward': -4.791638334007107}"
[ 0.45969343 -0.6284138  -1.         -0.45823687],-4.708544986107971,False,False,"{'iteration': 90, 'timestep': Timestamp('2015-07-28 19:15:00'), 'reward': -4.708544986107971}"
[ 0.4812128  -0.6418909  -1.         -0.44778872],-4.655832678241991,False,False,"{'iteration': 91, 'timestep': Timestamp('2015-07-28 19:30:00'), 'reward': -4.655832678241991}"
[ 0.5076879 -0.6568012 -1.        -0.4315629],-4.611030854562974,False,False,"{'iteration': 92, 'timestep': Timestamp('2015-07-28 19:45:00'), 'reward': -4.611030854562974}"
[ 0.53070396 -0.67105055 -1.         -0.42565158],-4.54553134030678,False,False,"{'iteration': 93, 'timestep': Timestamp('2015-07-28 20:00:00'), 'reward': -4.54553134030678}"
[ 0.5530403  -0.6843287  -0.99965084 -0.4347347 ],-4.496728149733141,False,False,"{'iteration': 94, 'timestep': Timestamp('2015-07-28 20:15:00'), 'reward': -4.496728149733141}"
[ 0.5734085  -0.69356084 -0.99739695 -0.44453058],-4.459404784671257,False,False,"{'iteration': 95, 'timestep': Timestamp('2015-07-28 20:30:00'), 'reward': -4.459404784671257}"
[ 0.5958047  -0.7052812  -0.9966603  -0.47016883],-4.370384736747543,True,False,"{'iteration': 96, 'timestep': Timestamp('2015-07-28 20:45:00'), 'reward': -4.370384736747543}"
