timestep,step,agent_power_house_1,baseline_power_house_1,power_diff_house_1,house_1_battery_P_bat,house_1_battery_SOC,agent_cost,baseline_cost,cost_saving,reward
2015-03-12 00:30:00,1,-0.064125333772362,-0.064125333772362,0.0,,,-0.09858879265466577,0.004939225708669797,0.10352801836333557,0.10352801836333557
2015-03-12 00:45:00,2,-0.05935530894438263,-0.05935530894438263,0.0,,,-0.09871749332455275,0.00448877336406534,0.10320626668861808,0.10320626668861808
2015-03-12 01:00:00,3,-0.05602529161164262,-0.05602529161164262,0.0,,,-0.047967960556608395,0.0041548716261067846,0.05212283218271518,0.05212283218271518
2015-03-12 01:15:00,4,-0.053820280134558,-0.053820280134558,0.0,,,0.003921770412814984,0.003921770412814984,0.0,0.0
2015-03-12 01:30:00,5,-0.052425272873544745,-0.052425272873544745,0.0,,,0.0037674196094190605,0.0037674196094190605,0.0,0.0
2015-03-12 01:45:00,6,-0.051525268189021124,-0.051525268189021124,0.0,,,0.0036697691011481326,0.0036697691011481326,0.0,0.0
2015-03-12 02:00:00,7,-0.050895264909854236,-0.050895264909854236,0.0,,,0.003606768773231479,0.003606768773231479,0.0,0.0
2015-03-12 02:15:00,8,-0.05062526350449638,-0.05062526350449638,0.0,,,0.003562668543689797,0.003562668543689797,0.0,0.0
2015-03-12 02:30:00,9,-0.05026526163068625,-0.05026526163068625,0.0,,,0.003543768445314747,0.003543768445314747,0.0,0.0
2015-03-12 02:45:00,10,-0.04986025952265112,-0.04986025952265112,0.0,,,0.003518568314148038,0.003518568314148038,0.0,0.0
2015-03-12 03:00:00,11,-0.04959025811729324,-0.04959025811729324,0.0,,,0.003490218166585579,0.003490218166585579,0.0,0.0
2015-03-12 03:15:00,12,-0.04923025624348425,-0.04923025624348425,0.0,,,0.0034713180682105272,0.0034713180682105272,0.0,0.0
2015-03-12 03:30:00,13,-0.04923025624348425,-0.04923025624348425,0.0,,,0.0034461179370438976,0.0034461179370438976,0.0,0.0
2015-03-12 03:45:00,14,-0.04936525694616262,-0.04936525694616262,0.0,,,0.0034461179370438976,0.0034461179370438976,0.0,0.0
2015-03-12 04:00:00,15,-0.04986025952265112,-0.04986025952265112,0.0,,,0.0034555679862313836,0.0034555679862313836,0.0,0.0
2015-03-12 04:15:00,16,-0.050490262801818,-0.050490262801818,0.0,,,0.003490218166585579,0.003490218166585579,0.0,0.0
2015-03-12 04:30:00,17,-0.05139026748634275,-0.05139026748634275,0.0,,,0.0035343183961272606,0.0035343183961272606,0.0,0.0
2015-03-12 04:45:00,18,-0.05256027357622425,-0.05256027357622425,0.0,,,0.0035973187240439927,0.0035973187240439927,0.0,0.0
2015-03-12 05:00:00,19,-0.055395288332475756,-0.055395288332475756,0.0,,,0.003679219150335698,0.003679219150335698,0.0,0.0
2015-03-12 05:15:00,20,-0.061290319016110505,-0.061290319016110505,0.0,,,0.0038776701832733034,0.0038776701832733034,0.0,0.0
2015-03-12 05:30:00,21,-0.07168537312236675,-0.07168537312236675,0.0,,,0.0042903223311277355,0.0042903223311277355,0.0,0.0
2015-03-12 05:45:00,22,-0.08739045486731813,-0.08739045486731813,0.0,,,0.005017976118565673,0.005017976118565673,0.0,0.0
2015-03-12 06:00:00,23,-0.10638055371078224,-0.10638055371078224,0.0,,,0.006117331840712269,0.006117331840712269,0.0,0.0
2015-03-12 06:15:00,24,-0.125910655364961,-0.125910655364961,0.0,,,0.007446638759754758,0.007446638759754758,0.0,0.0
2015-03-12 06:30:00,25,-0.14328074577628125,-0.14328074577628125,0.0,,,0.00881374587554727,0.00881374587554727,0.0,0.0
2015-03-12 06:45:00,26,-0.1562408132334334,-0.1562408132334334,0.0,,,0.010029652204339688,0.010029652204339688,0.0,0.0
2015-03-12 07:00:00,27,-0.16510585937599798,-0.16510585937599798,0.0,,,0.010936856926340338,0.010936856926340338,0.0,0.0
2015-03-12 07:15:00,28,-0.15447653320305976,-0.15447653320305976,0.0,,,0.011557410156319859,0.011557410156319859,0.0,0.0
2015-03-12 07:30:00,29,-0.12280378690493654,-0.12280378690493654,0.0,,,0.010813357324214184,0.010813357324214184,0.0,0.0
2015-03-12 07:45:00,30,-0.0830849728194268,-0.0830849728194268,0.0,,,0.008596265083345558,0.008596265083345558,0.0,0.0
2015-03-12 08:00:00,31,-0.0378751879657106,-0.0378751879657106,0.0,,,0.005815948097359877,0.005815948097359877,0.0,0.0
2015-03-12 08:15:00,32,0.014323079495624306,0.014323079495624306,0.0,,,0.0026512631575997423,0.0026512631575997423,0.0,0.0
2015-03-12 08:30:00,33,0.07528170306443516,0.07528170306443516,0.0,,,-0.0002864615899124861,-0.0002864615899124861,0.0,0.0
2015-03-12 08:45:00,34,0.1328188479834091,0.1328188479834091,0.0,,,-0.0015056340612887031,-0.0015056340612887031,0.0,0.0
2015-03-12 09:00:00,35,0.19409186130140957,0.19409186130140957,0.0,,,-0.002656376959668182,-0.002656376959668182,0.0,0.0
2015-03-12 09:15:00,36,0.26244987124983793,0.26244987124983793,0.0,,,-0.0038818372260281914,-0.0038818372260281914,0.0,0.0
2015-03-12 09:30:00,37,0.322400565142223,0.322400565142223,0.0,,,-0.005248997424996758,-0.005248997424996758,0.0,0.0
2015-03-12 09:45:00,38,0.3674614786894137,0.3674614786894137,0.0,,,-0.00644801130284446,-0.00644801130284446,0.0,0.0
2015-03-12 10:00:00,39,0.4215675751652614,0.4215675751652614,0.0,,,-0.007349229573788274,-0.007349229573788274,0.0,0.0
