electrical_baseload_households,thermal_energy_demand_households,electrical_baseload_business,thermal_energy_demand_business,electrical_baseload,thermal_energy_demand,pv_gen_PV_1,pv_gen_PV_2,pv_gen_PV_3,hp_cop_HP_Ground,hp_cop_HP_Air,price_el,co2_el,initial_battery_storage,cost,co2,grid_generator_kW,natural_gas_generator_kW,district_heating_generator_kW,PV_1_pv_generator_kW,PV_2_pv_generator_kW,PV_3_pv_generator_kW,electrical_load_kW,thermal_load_kW,grid_feed-in_kW,battery_storage_kW,DRL_overflow_kW,grid_demand_link_p0_kW,grid_feed-in_link_p0_kW,battery_charge_p0_kW,battery_discharge_p0_kW,HP_Ground_heat_pump_p0_kW,HP_Air_heat_pump_p0_kW,district_heating_p0_kW,DRL_overflow_link_bat_charge_p0_kW,DRL_overflow_link_bat_discharge_p0_kW,grid_demand_link_p1_kW,grid_feed-in_link_p1_kW,battery_charge_p1_kW,battery_discharge_p1_kW,HP_Ground_heat_pump_p1_kW,HP_Air_heat_pump_p1_kW,district_heating_p1_kW,DRL_overflow_link_bat_charge_p1_kW,DRL_overflow_link_bat_discharge_p1_kW,grid_feed-in_kWh,battery_storage_kWh,DRL_overflow_kWh
1.414807364072325,1.8110595186187817,0.9047984527946499,0.6029064863706284,2.319605816866975,2.41396600498941,0.0,0.0,0.0,2.957131199349999,2.22332406075,13.105469999999999,170.33,0.0,333.9262270418315,4338.738512914835,101.890178193268,-0.0,2.413966004988,-0.0,-0.0,-0.0,2.319605816866975,2.41396600498941,0.0,-97.57916092887199,0.0,101.890178193268,0.0,99.5705723764,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-101.890178193268,-0.0,-97.57916092887199,0.0,0.0,0.0,-0.0,0.0,0.0,56877.89900796981,24.394790232217996,996248.739115421
1.3374069612032402,1.8803455437792893,0.94359838644676,0.6420417259896853,2.2810053476500003,2.5223872697689744,0.0,0.0,0.0,2.956209573599999,2.222629852,15.782969999999999,181.71,0.0,-374.17316619495267,18404.716925178443,405.144833529876,-0.0,2.522387269768,-0.0,-0.0,-0.0,2.2810053476500003,2.5223872697689744,-500.0,97.57906334971105,1.539479321334511,405.144833529876,500.0,-0.0,99.1185426712,-0.0,-0.0,0.0,-0.0,1.5394793214889546,-405.144833529876,-500.0,0.0,-97.136171817776,0.0,0.0,-0.0,0.0,-1.5394793214889546,57002.89900796981,-0.0,996248.3542455906
1.2888067082389199,1.911524742847058,0.98119832215087,0.6526878260379837,2.2700050303897896,2.5642125688850417,0.0,0.0,0.0,2.952899317799999,2.220137221,15.782969999999999,181.71,0.0,402.16090094938977,4628.914557201715,101.896748823988,-0.0,2.564212568884,-0.0,-0.0,-0.0,2.2700050303897896,2.5642125688850417,0.0,-97.634208917728,0.0,101.896748823988,0.0,99.6267437936,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-101.896748823988,-0.0,-97.634208917728,0.0,0.0,0.0,-0.0,0.0,0.0,57002.89900796981,24.408552229432,996248.3542455906
1.245006480258735,1.9427039419148269,1.00319828453093,0.663333926086282,2.248204764789665,2.606037868001109,0.0,0.0,0.0,2.9495890619999994,2.21764459,15.782969999999999,181.71,0.0,-264.1752668729538,19671.088861499185,433.021602806652,-0.0,2.606037868,-0.0,-0.0,-0.0,2.248204764789665,2.606037868001109,-500.0,70.6393897532,0.0,433.021602806652,500.0,-0.0,70.6393897532,-0.0,-0.0,0.0,-0.0,-0.0,-433.021602806652,-500.0,0.0,-69.226601958136,0.0,0.0,-0.0,0.0,0.0,57127.89900796981,6.748680382579772,996248.3542455906
1.1958062241713998,1.9738831409825957,0.99679829547491,0.6739800261345804,2.1926045196463098,2.647863167117176,0.0,0.0,0.0,2.9462788062,2.215151959,15.782969999999999,181.71,0.0,396.5952724756978,4564.798718676852,100.485360600448,-0.0,2.647863167116,-0.0,-0.0,-0.0,2.1926045196463098,2.647863167117176,0.0,-96.326900959184,0.0,100.485360600448,0.0,98.2927560808,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-100.485360600448,-0.0,-96.326900959184,0.0,0.0,0.0,-0.0,0.0,0.0,57127.89900796981,30.830398873695387,996248.3542455906
1.124405852532465,2.0050623400503644,0.9695983419868401,0.6846261261828788,2.094004194519305,2.6896884662332434,0.0,0.0,0.0,2.9429685504000003,2.212659328,15.782969999999999,196.42,0.0,401.0726399955019,4990.033916529968,101.61967043132,-0.0,2.689688466232,-0.0,-0.0,-0.0,2.094004194519305,2.6896884662332434,0.0,-97.535152912064,0.0,101.61967043132,0.0,99.5256662368,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-101.61967043132,-0.0,-97.535152912064,0.0,0.0,0.0,-0.0,0.0,0.0,57127.89900796981,55.21415627131252,996248.3542455906
1.0392054090641552,2.024249539476684,0.9319984062827299,0.6911775723664471,1.9712038153468852,2.7154271118431312,0.0,0.0,0.0,2.9448061134000003,2.214042863,15.782969999999999,196.42,0.0,-371.39199451044055,19929.152801755747,405.847730409444,-0.0,2.715427111844,-0.0,-0.0,-0.0,1.9712038153468852,2.7154271118431312,-500.0,98.08517694479998,0.0,405.847730409444,500.0,-0.0,98.0851769448,-0.0,-0.0,0.0,-0.0,-0.0,-405.847730409444,-500.0,0.0,-96.123473405904,0.0,0.0,-0.0,0.0,0.0,57252.89900796981,30.692806820956246,996248.3542455906
0.9540049655958451,2.043436738903003,0.8931984726306101,0.6977290185500152,1.8472034382264553,2.741165757453018,0.0,0.0,0.0,2.9466436764,2.215426398,15.782969999999999,196.42,0.0,375.2967217828166,4669.225456391141,95.08655852542799,-0.0,2.741165757452,-0.0,-0.0,-0.0,1.8472034382264553,2.741165757453018,0.0,-91.374567985456,0.0,95.08655852542799,0.0,93.2393550872,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-95.08655852542799,-0.0,-91.374567985456,0.0,0.0,0.0,-0.0,0.0,0.0,57252.89900796981,53.536418124513425,996248.3542455906
0.88020458146485,2.062623938329322,0.86359852324653,0.7042804647335834,1.74380310471138,2.7669044030629055,0.0,0.0,0.0,2.9484812393999995,2.2168099329999995,15.782969999999999,196.42,0.0,384.98985610490706,4789.844276559598,97.542903503912,-0.0,2.766904403064,-0.0,-0.0,-0.0,1.74380310471138,2.7669044030629055,0.0,-93.88311839121599,0.0,97.542903503912,0.0,95.7991003992,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-97.542903503912,-0.0,-93.883118391216,0.0,0.0,0.0,-0.0,0.0,0.0,57252.89900796981,77.00714418589929,996248.3542455906
0.82920431600847,2.0818111377556416,0.8415985608664599,0.7108319109171517,1.67080287687493,2.7926430486727933,0.0,0.0,0.0,2.9503188023999996,2.2181934679999995,16.10427,216.25,0.0,-382.23779195363346,21897.01672693986,405.03152327287603,-0.0,2.792643048672,-0.0,-0.0,-0.0,1.67080287687493,2.7926430486727933,-500.0,98.6115098,0.0,405.03152327287603,500.0,-0.0,98.6115098,-0.0,-0.0,0.0,-0.0,-0.0,-405.03152327287603,-500.0,0.0,-96.639279604,0.0,0.0,-0.0,0.0,0.0,57377.89900796981,52.35418972875511,996248.3542455906
