#{"t_start": 1757778045.485011, "env_id": "None"}
r,l,t
-11.755479,96,110.554183
-10.193612,96,180.480243
-13.183834,96,252.695685
-12.589778,96,320.934323
-11.083551,96,391.306333
-10.48005,96,460.90757
-11.860009,96,530.839186
-10.674692,96,600.655427
-10.033589,96,670.025827
-9.316388,96,739.960787
-9.611206,96,809.821956
-8.271631,96,881.221719
-9.03303,96,961.892079
-8.795555,96,1049.123531
-8.387546,96,1121.967744
-6.759789,96,1194.653982
-8.805122,96,1265.404835
-8.841624,96,1335.164298
-9.437543,96,1406.183007
-6.200084,96,1477.224142
-7.942799,96,1546.44986
-6.456643,96,1618.130234
-11.013925,96,1688.831254
-7.615347,96,1762.40179
-9.133215,96,1831.173922
-7.262866,96,1903.89742
-7.357991,96,1985.086575
-7.022975,96,2071.73074
-8.065871,96,2139.720418
-6.406119,96,2212.826909
-6.5532,96,2281.123367
-5.529494,96,2349.58829
-7.392615,96,2436.907318
-6.905383,96,2530.732974
-6.176862,96,2611.456084
-7.118611,96,2689.606769
-8.829625,96,2781.615882
-6.709479,96,2873.082341
-7.327803,96,2964.255136
-8.378165,96,3057.10464
-7.009011,96,3148.164095
-6.954494,96,3232.728008
-6.957385,96,3301.457073
-7.291321,96,3371.754968
-7.666633,96,3449.464018
-6.02633,96,3541.486175
-6.4447,96,3619.446512
-8.147644,96,3713.948501
-6.913972,96,3808.863135
-7.435732,96,3903.164159
-7.456555,96,3997.308174
-6.299932,96,4092.410501
-6.706668,96,4186.981374
-6.742796,96,4268.925033
-6.714762,96,4336.965524
-6.659729,96,4407.905043
-6.418729,96,4477.471456
-8.383746,96,4546.783149
-7.022014,96,4615.911387
-6.83496,96,4684.745059
-6.250919,96,4753.622944
-6.213528,96,4822.673872
-6.15335,96,4890.108189
-6.301562,96,4957.256894
-6.119121,96,5025.540516
-7.338045,96,5095.646854
-6.392783,96,5165.229654
-6.02126,96,5229.040289
-7.202935,96,5291.906315
-6.696477,96,5357.363879
-6.452802,96,5424.09103
-6.214927,96,5490.988375
-5.344635,96,5560.03214
-6.267677,96,5628.958338
-6.455542,96,5699.500812
-6.184918,96,5769.116503
-7.107431,96,5838.609304
-6.07453,96,5931.704094
-5.655731,96,6025.950643
-6.386691,96,6120.241996
-5.456834,96,6215.140311
-6.499209,96,6297.114499
-5.958882,96,6387.546236
-6.507138,96,6479.805622
-5.358247,96,6571.209205
-5.509311,96,6665.872838
-6.482781,96,6774.638556
-5.906274,96,6883.828229
-6.794621,96,6992.930326
-6.351474,96,7102.936599
-5.847252,96,7211.981973
-6.810609,96,7321.379228
-5.571253,96,7430.464957
-5.675449,96,7539.577971
-5.83943,96,7649.311119
-5.156862,96,7758.427944
-5.282619,96,7867.398013
-6.676893,96,7976.616722
-6.789738,96,8085.837463
-5.957241,96,8194.358686
-5.240249,96,8545.458419
-5.630927,96,8657.112174
-4.654208,96,8768.578251
-5.927674,96,8879.830526
-5.279551,96,8991.069661
-5.845997,96,9102.50255
-5.255682,96,9214.038579
-5.990342,96,9325.41525
-5.013085,96,9437.689555
-4.960568,96,9549.594264
-4.358425,96,9661.022912
-6.047227,96,9773.0407
-5.243038,96,9860.604572
-4.720546,96,9954.286272
-5.64256,96,10047.107801
-6.138814,96,10139.68285
-7.302391,96,10233.174265
-4.301022,96,10325.985344
-5.660293,96,10418.626253
-6.639503,96,10512.214149
-5.30861,96,10605.339848
-5.645249,96,10697.900334
-5.274471,96,10790.793948
-5.231021,96,10884.101508
-5.15867,96,10977.4029
-6.285742,96,11070.462086
-4.956566,96,11163.53086
-5.867235,96,11256.395883
-4.684891,96,11348.941435
-4.826173,96,11441.092144
-5.469484,96,11503.7436
-4.646764,96,11565.632316
-4.924007,96,11627.74603
-4.988265,96,11690.191765
-5.18315,96,11754.134164
-5.352467,96,11816.61762
-5.409103,96,11878.972009
-5.685708,96,11943.01539
-5.801251,96,12008.329525
-5.718507,96,12074.503243
-4.924219,96,12141.160632
-5.768696,96,12208.04203
-5.198311,96,12274.243758
-5.182161,96,12339.672529
-5.590854,96,12406.322614
-4.797961,96,12472.448749
-4.803939,96,12538.08266
-5.06909,96,12604.192818
-5.535085,96,12670.108835
-4.403563,96,12736.095165
-4.462979,96,12801.76729
-4.391767,96,12867.622252
-4.461238,96,12933.563213
-4.65626,96,12999.611897
-5.578372,96,13066.279524
-4.346865,96,13132.142564
-3.864258,96,13197.971013
-5.387891,96,13263.737794
-5.338519,96,13329.730979
-6.097812,96,13396.57687
-4.95829,96,13462.886986
-4.470924,96,13529.041081
-5.108437,96,13595.412243
-4.583031,96,13661.311616
-4.562398,96,13727.489359
-3.347666,96,13793.586558
-4.3122,96,13859.242495
-4.397811,96,13925.49475
-4.06847,96,13991.450761
-4.523012,96,14059.338831
-4.157052,96,14130.683137
-4.26871,96,14227.530629
-4.111591,96,14323.77309
-4.412983,96,14419.862879
