#{"t_start": 1757778045.6879246, "env_id": "None"}
r,l,t
-11.575859,96,110.405604
-11.711883,96,180.269184
-10.84471,96,252.528798
-10.177534,96,320.606528
-9.765477,96,391.174055
-10.52956,96,460.724315
-11.273384,96,530.664142
-9.149664,96,600.510001
-9.484739,96,669.877567
-8.8834,96,739.722324
-10.632625,96,809.699423
-9.664568,96,880.973378
-10.055264,96,961.570282
-9.384776,96,1048.876756
-8.499334,96,1121.730306
-8.610636,96,1194.424568
-9.273174,96,1265.237067
-9.281156,96,1334.867905
-9.245758,96,1406.065398
-7.828693,96,1477.076855
-8.083193,96,1546.211945
-8.836763,96,1617.97251
-7.389474,96,1688.62444
-8.407531,96,1762.166471
-7.750835,96,1831.122136
-7.443911,96,1903.634886
-8.234251,96,1984.89911
-7.312148,96,2071.6361
-7.938038,96,2139.517505
-7.927749,96,2212.652436
-6.745618,96,2280.887357
-6.589328,96,2349.374489
-8.355571,96,2436.704404
-7.470569,96,2530.579175
-8.109392,96,2611.237831
-7.356231,96,2689.403855
-8.444285,96,2781.472924
-6.919832,96,2872.920188
-6.992655,96,2964.068449
-6.642053,96,3056.837129
-6.208559,96,3147.964179
-8.229691,96,3232.50598
-6.985733,96,3301.260867
-6.769667,96,3371.611265
-7.559308,96,3449.174021
-6.403402,96,3541.316256
-6.610879,96,3619.313185
-6.653192,96,3713.862507
-7.443669,96,3808.687156
-6.389222,96,3902.993819
-5.752248,96,3997.157104
-7.543992,96,4092.279557
-5.469183,96,4186.736229
-7.14436,96,4268.720111
-5.764327,96,4336.762611
-5.534163,96,4407.804482
-6.465161,96,4477.258168
-7.2614,96,4546.852355
-6.101386,96,4615.745123
-6.803696,96,4684.6245
-6.334516,96,4753.392802
-6.384624,96,4822.426954
-6.014768,96,4889.916838
-5.944565,96,4957.053981
-5.988982,96,5025.277319
-6.094325,96,5095.483835
-7.399542,96,5164.957712
-7.051226,96,5228.818299
-6.120578,96,5291.67384
-6.265566,96,5357.120677
-6.93054,96,5423.862195
-6.179481,96,5490.730446
-6.823716,96,5559.845506
-5.819338,96,5628.801248
-6.783296,96,5699.299921
-6.049544,96,5768.877817
-6.130958,96,5838.411671
-5.590802,96,5931.613849
-5.756898,96,6025.735668
-6.517091,96,6120.028585
-5.145022,96,6214.84376
-6.694266,96,6296.903034
-7.150918,96,6387.303789
-6.181055,96,6479.578838
-5.475883,96,6571.036349
-6.535377,96,6665.638911
-6.413583,96,6774.456089
-4.688887,96,6883.543668
-5.411296,96,6992.859952
-5.395327,96,7102.774594
-4.918548,96,7211.879302
-5.946993,96,7321.306806
-5.848469,96,7430.381989
-5.777044,96,7539.313971
-5.888922,96,7649.097977
-5.628855,96,7758.236023
-6.131789,96,7867.232202
-5.928764,96,7976.316971
-4.771532,96,8085.624468
-5.293694,96,8194.354276
-5.442047,96,8545.480346
-5.749418,96,8656.98942
-6.49821,96,8768.415614
-5.395229,96,8879.735619
-5.492874,96,8990.866748
-5.261648,96,9102.453059
-5.330848,96,9213.778475
-6.196475,96,9325.218418
-6.923057,96,9437.597925
-5.727819,96,9549.175626
-5.676961,96,9660.839116
-5.497001,96,9772.801126
-5.537258,96,9860.422253
-4.508544,96,9954.073166
-6.313063,96,10046.843649
-4.940223,96,10139.459973
-5.395695,96,10232.87959
-6.454897,96,10325.802259
-5.492401,96,10418.353082
-5.622031,96,10511.934282
-5.880193,96,10605.136935
-6.60586,96,10697.70762
-5.263929,96,10790.683166
-5.41943,96,10883.696545
-5.128574,96,10977.243665
-6.303446,96,11070.264948
-4.255768,96,11163.327946
-4.764795,96,11256.182389
-6.931831,96,11348.626269
-5.717196,96,11440.860246
-6.064189,96,11503.676913
-5.970066,96,11565.551875
-5.270563,96,11627.605891
-4.88918,96,11690.054549
-4.926006,96,11753.96351
-5.767075,96,11816.50428
-4.926738,96,11878.809181
-5.158706,96,11942.810472
-4.564759,96,12007.953574
-5.571521,96,12074.328522
-4.713499,96,12140.911786
-5.004524,96,12207.849132
-4.547547,96,12273.986295
-4.759604,96,12339.405046
-4.718127,96,12406.127741
-4.817116,96,12471.961846
-4.814912,96,12537.816261
-4.758361,96,12604.090067
-6.012493,96,12669.758708
-5.060696,96,12735.807954
-3.918037,96,12801.424329
-3.825656,96,12867.418267
-4.884242,96,12933.330689
-4.880454,96,12999.302815
-4.771474,96,13065.976754
-5.053832,96,13131.838
-5.184177,96,13197.754631
-4.945144,96,13263.619037
-3.701548,96,13329.357772
-4.725165,96,13396.357445
-4.204676,96,13462.644189
-4.299649,96,13528.959067
-3.391815,96,13595.29311
-4.636802,96,13661.261647
-4.631851,96,13727.276314
-5.777792,96,13793.436878
-4.854338,96,13858.910846
-4.600933,96,13925.388092
-4.557875,96,13991.193482
-4.213044,96,14059.269097
-4.471817,96,14130.513811
-5.021383,96,14227.40176
-4.224172,96,14323.697633
-4.307185,96,14419.766985
