#{"t_start": 1757778045.125845, "env_id": "None"}
r,l,t
-8.212974,96,110.989613
-12.164806,96,180.806181
-10.901164,96,253.240406
-10.89449,96,321.174942
-10.877046,96,391.6966
-9.565646,96,461.282882
-10.361958,96,531.208198
-9.360332,96,601.0651
-9.323587,96,670.323953
-10.78475,96,740.303708
-10.866632,96,810.144205
-10.032575,96,881.548074
-9.614694,96,962.126285
-11.180174,96,1049.488746
-9.140818,96,1122.229403
-8.726709,96,1194.980572
-8.398797,96,1265.791212
-6.950435,96,1335.438821
-8.042184,96,1406.62307
-10.643294,96,1477.598315
-9.911577,96,1546.648045
-7.648882,96,1618.464497
-8.274942,96,1689.058228
-7.546104,96,1762.854406
-9.134194,96,1831.588772
-7.592395,96,1904.255371
-7.985751,96,1985.436601
-8.569384,96,2072.109536
-7.189526,96,2140.098253
-7.513836,96,2213.181943
-7.297583,96,2281.516122
-8.724641,96,2349.936568
-5.786787,96,2437.266484
-6.941179,96,2531.173899
-7.88366,96,2611.744431
-6.675462,96,2689.924782
-7.24972,96,2782.045072
-7.348616,96,2873.495493
-6.775872,96,2964.571601
-8.01026,96,3057.456669
-5.956899,96,3148.515058
-6.708545,96,3233.099424
-6.405459,96,3301.686373
-7.711432,96,3372.191097
-6.517091,96,3449.848973
-7.166722,96,3541.879342
-6.362437,96,3619.759138
-6.905134,96,3714.534979
-7.305668,96,3809.237778
-7.061342,96,3903.49166
-7.483315,96,3997.634481
-6.241976,96,4092.765699
-7.171179,96,4187.34054
-6.750605,96,4269.327973
-6.774062,96,4337.340088
-7.312351,96,4408.356873
-7.025829,96,4477.922582
-6.792877,96,4547.121276
-6.244458,96,4616.142806
-7.277629,96,4685.131486
-7.190493,96,4754.010215
-6.621826,96,4822.912776
-5.842364,96,4890.37467
-6.501092,96,4957.638462
-5.892699,96,5025.910801
-6.34269,96,5096.047493
-7.25392,96,5165.539841
-5.95451,96,5229.39091
-6.047226,96,5292.196734
-5.98267,96,5357.725811
-7.421824,96,5424.432005
-5.774967,96,5491.323603
-5.579224,96,5560.270719
-6.394883,96,5629.306257
-6.453324,96,5699.853908
-7.186426,96,5769.469268
-5.603572,96,5839.000203
-6.638326,96,5932.101312
-6.364818,96,6026.287625
-6.410497,96,6120.693855
-6.259532,96,6215.397699
-5.717798,96,6297.448509
-6.6335,96,6387.827314
-5.166692,96,6480.150904
-7.660996,96,6571.714563
-6.096397,96,6666.196928
-5.727292,96,6774.965546
-5.948943,96,6884.13651
-5.652794,96,6993.228495
-5.282045,96,7103.305736
-6.218077,96,7212.215926
-6.364944,96,7321.950688
-6.598131,96,7430.899501
-5.759845,96,7539.814098
-6.399149,96,7649.494842
-5.683207,96,7758.843099
-5.269827,96,7867.864141
-5.907077,96,7976.834109
-6.546599,96,8086.127644
-5.482061,96,8194.850664
-5.247318,96,8545.797406
-5.590434,96,8657.46729
-5.934535,96,8768.892257
-6.057439,96,8880.209875
-6.16492,96,8991.465163
-6.414053,96,9102.959204
-5.817104,96,9214.379998
-4.501794,96,9325.749748
-5.158873,96,9438.12893
-5.857748,96,9549.681322
-4.472599,96,9661.390571
-4.800449,96,9773.383619
-5.830005,96,9860.862698
-5.300688,96,9954.531207
-5.495931,96,10047.516629
-6.006224,96,10139.973682
-6.657635,96,10233.482738
-4.362339,96,10326.417129
-6.819046,96,10419.027224
-4.689499,96,10512.340815
-5.252385,96,10605.545554
-5.459159,96,10698.131007
-5.482497,96,10791.204041
-5.041331,96,10884.526902
-5.945562,96,10977.766356
-6.547491,96,11070.713668
-5.103616,96,11163.743637
-6.692,96,11256.718647
-5.304727,96,11349.160049
-5.788371,96,11441.430017
-5.295205,96,11504.089089
-5.765255,96,11566.014953
-4.945575,96,11628.102745
-5.158677,96,11690.597865
-5.50292,96,11754.389657
-5.40146,96,11816.976786
-5.023106,96,11879.31939
-4.762772,96,11943.389537
-5.50838,96,12008.632011
-4.018308,96,12074.771474
-6.371362,96,12141.605744
-5.637944,96,12208.379056
-6.156128,96,12274.505029
-4.805805,96,12340.083303
-5.467688,96,12406.609616
-3.849194,96,12472.559081
-4.665444,96,12538.456725
-4.945259,96,12604.473679
-4.45196,96,12670.324756
-4.704371,96,12736.425892
-4.291564,96,12802.138535
-4.968586,96,12867.894973
-4.508906,96,12933.893768
-4.877951,96,12999.938574
-5.431082,96,13066.572964
-4.552021,96,13132.344513
-4.332072,96,13198.312435
-4.731394,96,13264.18779
-3.885103,96,13329.967582
-5.608593,96,13397.073573
-3.922127,96,13463.258274
-4.81564,96,13529.446023
-4.553779,96,13595.877505
-5.180455,96,13661.786478
-5.180194,96,13727.983514
-5.037199,96,13793.892735
-3.72103,96,13859.581571
-4.477855,96,13925.988731
-4.509517,96,13991.61461
-5.156343,96,14059.790632
-5.128305,96,14131.091482
-4.579531,96,14227.899991
-3.41335,96,14324.162653
-4.463107,96,14420.166362
