#{"t_start": 1757778046.0849385, "env_id": "None"}
r,l,t
-12.477164,96,109.997072
-11.030476,96,179.827367
-10.631497,96,252.251287
-11.225978,96,320.275653
-11.033054,96,390.788345
-11.373327,96,460.306551
-9.5834,96,530.235176
-11.425241,96,600.138831
-10.445912,96,669.410819
-10.601665,96,739.364258
-8.651037,96,809.237918
-9.270428,96,880.521358
-8.581921,96,961.376676
-10.739178,96,1048.563118
-10.935394,96,1121.338042
-7.918988,96,1194.0048
-8.920646,96,1264.849021
-7.914842,96,1334.465065
-8.996407,96,1405.614616
-8.623676,96,1476.678258
-7.179392,96,1545.854997
-8.23191,96,1617.51324
-7.038219,96,1688.273239
-9.776394,96,1761.879544
-7.332404,96,1830.679821
-8.718826,96,1903.28961
-8.065392,96,1984.601183
-7.744158,96,2071.23066
-6.883952,96,2139.08159
-7.628629,96,2212.226982
-7.209471,96,2280.45141
-6.301169,96,2349.03315
-6.641489,96,2436.291142
-7.012301,96,2530.248042
-8.027948,96,2610.783325
-6.279443,96,2689.006841
-7.0231,96,2781.147523
-6.824408,96,2872.555786
-6.659551,96,2963.694287
-6.474485,96,3056.506743
-6.344151,96,3147.525517
-6.813725,96,3232.191895
-7.362439,96,3300.831863
-6.731297,96,3371.208804
-7.107669,96,3448.872314
-7.133861,96,3540.870698
-6.051446,96,3618.846585
-6.911269,96,3713.409086
-7.333996,96,3808.28287
-6.802231,96,3902.483007
-5.818287,96,3996.574867
-6.463598,96,4091.8683
-7.246259,96,4186.405682
-5.551977,96,4268.346619
-6.93263,96,4336.431641
-6.782834,96,4407.339518
-6.20938,96,4476.969051
-6.409665,96,4546.20081
-6.303924,96,4615.265722
-7.248152,96,4684.177286
-6.771459,96,4752.98666
-5.872976,96,4822.082947
-6.564297,96,4889.55518
-6.603157,96,4956.889205
-7.642041,96,5024.973435
-6.524324,96,5095.122952
-6.925958,96,5164.621822
-7.79572,96,5228.451391
-5.665064,96,5291.249742
-6.989099,96,5356.75162
-6.707498,96,5423.465182
-6.125762,96,5490.436376
-7.01122,96,5559.384254
-6.808092,96,5628.308794
-6.553107,96,5698.989808
-6.202404,96,5768.489859
-5.917235,96,5838.252282
-7.007143,96,5931.206467
-6.537085,96,6025.352726
-6.043514,96,6119.599249
-6.52643,96,6214.539287
-5.921203,96,6296.533519
-6.057294,96,6386.759833
-6.089684,96,6479.210815
-6.077127,96,6570.759363
-5.479574,96,6665.286676
-5.91115,96,6773.958648
-6.470012,96,6883.053696
-6.192564,96,6992.369036
-5.541564,96,7102.336671
-5.692258,96,7211.427315
-6.893986,96,7320.940097
-6.518597,96,7429.93387
-5.998673,96,7538.913943
-5.501786,96,7648.578012
-5.871736,96,7757.958372
-6.30085,96,7866.792014
-6.028168,96,7975.981776
-5.153347,96,8085.172594
-6.217029,96,8193.93661
-5.701127,96,8544.858492
-4.600452,96,8656.616967
-5.926992,96,8767.933163
-4.759292,96,8879.389666
-6.236273,96,8990.508062
-5.30914,96,9102.015528
-5.668335,96,9213.419379
-6.718794,96,9324.731344
-5.352825,96,9437.089627
-5.976782,96,9548.748787
-6.575722,96,9660.380204
-5.748065,96,9772.454973
-4.789832,96,9859.96389
-5.656519,96,9953.696704
-5.566826,96,10046.499522
-6.237106,96,10139.096616
-6.336193,96,10232.486638
-5.953537,96,10325.433767
-5.425236,96,10417.975501
-6.273355,96,10511.482765
-5.885393,96,10604.744244
-5.338378,96,10697.171913
-4.759029,96,10790.092788
-6.336065,96,10883.532793
-5.604542,96,10976.754039
-6.090992,96,11069.816507
-5.157703,96,11162.846262
-4.913612,96,11255.903587
-5.053023,96,11348.29257
-5.844127,96,11440.377927
-4.612456,96,11503.279899
-4.825238,96,11565.104276
-4.689642,96,11627.064791
-6.247712,96,11689.539088
-5.189756,96,11753.556252
-5.972683,96,11816.088933
-4.854074,96,11878.372081
-5.379203,96,11942.479289
-5.973777,96,12007.765717
-5.316841,96,12073.875457
-5.301463,96,12140.537683
-4.42356,96,12207.352105
-4.86139,96,12273.656833
-5.758713,96,12339.054299
-4.484631,96,12405.688557
-5.58953,96,12471.729672
-4.534671,96,12537.555382
-4.372825,96,12603.694056
-4.558124,96,12669.453628
-4.852009,96,12735.450727
-4.900977,96,12801.144641
-4.516488,96,12866.968336
-4.175028,96,12932.914624
-4.144861,96,12999.005319
-5.335486,96,13065.625073
-4.439149,96,13131.266047
-4.862504,96,13197.274772
-5.267959,96,13263.172075
-5.272296,96,13328.969017
-4.526618,96,13395.960431
-5.206464,96,13462.172555
-4.866927,96,13528.513837
-4.656452,96,13594.842676
-4.242105,96,13660.781507
-4.778517,96,13726.965264
-3.726453,96,13792.984735
-4.325688,96,13858.556188
-3.967691,96,13924.998509
-4.595612,96,13990.880935
-3.855172,96,14058.8455
-3.587136,96,14130.166813
-4.884998,96,14227.030834
-4.345789,96,14323.173163
-4.502653,96,14419.369971
