#{"t_start": 1757778044.3591232, "env_id": "None"}
r,l,t
-11.67057,96,111.800971
-11.659642,96,181.531297
-11.191558,96,253.948233
-10.365113,96,321.956055
-9.339488,96,392.582608
-10.690472,96,462.010077
-10.91079,96,531.981847
-9.914273,96,601.771024
-10.808993,96,671.16582
-10.40284,96,741.024988
-9.594367,96,811.035146
-9.792262,96,882.289661
-9.714362,96,963.09718
-10.195373,96,1050.183661
-8.295385,96,1123.003245
-7.741612,96,1195.75337
-9.359866,96,1266.525723
-7.75804,96,1336.272239
-9.321314,96,1407.364449
-7.620008,96,1478.397778
-9.08439,96,1547.36131
-6.975655,96,1619.225001
-6.946598,96,1690.06399
-8.596689,96,1763.588963
-7.621703,96,1832.386775
-6.698411,96,1905.043299
-8.06417,96,1986.226387
-7.604911,96,2072.881452
-7.670993,96,2140.81964
-7.665877,96,2214.011102
-8.092359,96,2282.192054
-6.927056,96,2350.751124
-8.047168,96,2438.029238
-7.869245,96,2531.885375
-7.030347,96,2612.599384
-6.381923,96,2690.611746
-7.817897,96,2782.871588
-7.098593,96,2874.300209
-6.55197,96,2965.388593
-7.355018,96,3058.22136
-8.121169,96,3149.323373
-7.589847,96,3233.901406
-6.172403,96,3302.52949
-6.923042,96,3372.949103
-6.904088,96,3450.643309
-7.235201,96,3542.638069
-6.183292,96,3620.564975
-6.124674,96,3715.164064
-7.002665,96,3809.956501
-6.956251,96,3904.237267
-6.868185,96,3998.286247
-6.499549,96,4093.478323
-6.031512,96,4188.036313
-7.4941,96,4270.063527
-7.320692,96,4338.067479
-7.086139,96,4409.077709
-6.122003,96,4478.699418
-7.267882,96,4547.90429
-7.5203,96,4617.007437
-6.486112,96,4685.884793
-7.266081,96,4754.729874
-6.035413,96,4823.750662
-5.798834,96,4891.203847
-6.290349,96,4958.599783
-5.816794,96,5026.654886
-7.149682,96,5096.78225
-6.69834,96,5166.36613
-6.618413,96,5230.149643
-5.740817,96,5292.908903
-5.987969,96,5358.460376
-6.220001,96,5425.172806
-6.515761,96,5492.048633
-6.43342,96,5561.187322
-6.612378,96,5630.084226
-6.272477,96,5700.683063
-6.735875,96,5770.250366
-6.039669,96,5839.978097
-6.274316,96,5932.839149
-5.531708,96,6026.968256
-6.578398,96,6121.259876
-5.973068,96,6216.064072
-6.293085,96,6298.165784
-5.946546,96,6388.559362
-6.047194,96,6480.890933
-7.32064,96,6572.384845
-6.569878,96,6667.047194
-6.354259,96,6775.78489
-5.995408,96,6884.842203
-5.595465,96,6994.015104
-6.86664,96,7104.02969
-5.674794,96,7213.116028
-6.030872,96,7322.596671
-6.835994,96,7431.659685
-6.471511,96,7540.775348
-5.736584,96,7650.273719
-6.497911,96,7759.714825
-5.510524,96,7868.561004
-6.570648,96,7977.697298
-5.27562,96,8086.833932
-5.370375,96,8195.652108
-5.261058,96,8546.655057
-6.301455,96,8658.318222
-4.106015,96,8769.628994
-5.386046,96,8881.06442
-5.195456,96,8992.063537
-4.267196,96,9103.741343
-4.905296,96,9215.137887
-5.601589,96,9326.575527
-6.04226,96,9438.794604
-5.654299,96,9550.550983
-5.575351,96,9662.1488
-5.53525,96,9774.277631
-5.152771,96,9861.567922
-5.916158,96,9955.354042
-5.02143,96,10048.285768
-5.260223,96,10140.74446
-5.661706,96,10234.198238
-5.451167,96,10327.189251
-5.076565,96,10419.697256
-5.375437,96,10513.208581
-5.301501,96,10606.424673
-6.139482,96,10699.07699
-5.481115,96,10791.816583
-5.042255,96,10885.172444
-5.216011,96,10978.541262
-5.34775,96,11071.468867
-5.182698,96,11164.636323
-5.030315,96,11257.485368
-5.775352,96,11350.057108
-5.475884,96,11442.195724
-4.456706,96,11504.962329
-5.316516,96,11566.788085
-4.001535,96,11628.907489
-4.784575,96,11691.30234
-5.697859,96,11755.223785
-4.581971,96,11817.747777
-5.185736,96,11880.075936
-5.423873,96,11944.141278
-5.024578,96,12009.313084
-4.981661,96,12075.608072
-5.795273,96,12142.332265
-5.452681,96,12209.039243
-4.82738,96,12275.289006
-4.925728,96,12340.830828
-4.973973,96,12407.340627
-3.681146,96,12473.347816
-4.213621,96,12539.13807
-5.099294,96,12605.280437
-5.514992,96,12671.123014
-5.334166,96,12737.247126
-4.560917,96,12802.870456
-4.701929,96,12868.747068
-3.609068,96,12934.633333
-4.649667,96,13000.788687
-4.228956,96,13067.365751
-5.227472,96,13133.022369
-4.630915,96,13199.027752
-4.951897,96,13264.881433
-5.198566,96,13330.723426
-5.299605,96,13397.837441
-4.374174,96,13463.98219
-5.51651,96,13530.172037
-4.765949,96,13596.60075
-3.909704,96,13662.638982
-5.196355,96,13728.689088
-5.335851,96,13794.729103
-4.801845,96,13860.280002
-5.106434,96,13926.600847
-5.004863,96,13992.532841
-4.696693,96,14060.571316
-4.504351,96,14131.835733
-4.36075,96,14228.702934
-4.384943,96,14324.982828
-5.379247,96,14421.022326
