#{"t_start": 1757778045.7188058, "env_id": "None"}
r,l,t
-12.681358,96,110.370636
-11.741583,96,180.248422
-10.657989,96,252.454156
-10.677488,96,320.581981
-11.911214,96,391.093423
-10.595824,96,460.675547
-9.971904,96,530.597058
-12.613091,96,600.3748
-9.021416,96,669.807901
-10.126427,96,739.683571
-8.902076,96,809.604051
-9.853287,96,880.940293
-8.208707,96,961.554619
-9.376524,96,1048.815808
-9.680373,96,1121.744184
-9.07536,96,1194.313366
-7.37408,96,1265.218649
-7.855198,96,1334.840021
-7.74719,96,1405.957474
-8.311632,96,1477.038095
-7.567212,96,1546.141178
-8.392119,96,1617.881329
-7.908569,96,1688.562564
-8.507924,96,1762.250662
-7.242537,96,1830.949489
-8.249112,96,1903.677614
-8.726429,96,1984.84978
-7.502546,96,2071.538857
-7.601267,96,2139.533171
-5.815212,96,2212.639043
-7.570028,96,2280.889573
-7.061287,96,2349.32512
-7.201463,96,2436.570779
-6.755521,96,2530.51359
-7.49362,96,2611.274781
-7.806108,96,2689.240001
-7.144783,96,2781.371982
-6.915092,96,2872.880396
-7.096741,96,2963.992794
-7.504216,96,3056.854638
-7.331128,96,3147.966343
-7.348291,96,3232.524969
-7.313458,96,3301.216423
-6.384628,96,3371.564616
-7.666974,96,3449.290933
-6.672621,96,3541.207617
-8.304151,96,3619.193922
-6.360077,96,3713.846305
-7.570885,96,3808.666098
-7.551984,96,3902.823201
-5.790351,96,3996.967271
-5.651638,96,4092.055261
-6.322539,96,4186.626931
-6.240668,96,4268.651343
-5.222393,96,4336.765138
-6.649697,96,4407.740043
-8.46932,96,4477.273489
-6.427919,96,4546.522316
-6.831969,96,4615.710655
-6.169535,96,4684.603081
-7.35994,96,4753.352793
-7.231256,96,4822.36753
-7.016808,96,4889.886951
-6.761024,96,4957.040509
-6.444851,96,5025.272047
-6.891097,96,5095.411038
-7.023045,96,5164.902397
-6.677631,96,5228.730722
-6.291603,96,5291.533203
-6.250606,96,5357.040821
-6.491078,96,5423.857235
-5.003335,96,5490.81064
-7.338533,96,5559.872299
-6.884946,96,5628.705541
-6.028087,96,5699.365117
-6.642271,96,5768.83248
-5.389867,96,5838.392016
-6.356009,96,5931.59541
-6.934105,96,6025.658067
-5.086575,96,6119.952462
-6.044964,96,6214.825119
-5.514907,96,6296.822952
-5.45336,96,6387.304042
-5.822119,96,6479.53125
-5.977325,96,6571.014988
-6.338719,96,6665.567151
-6.953944,96,6774.435382
-5.785374,96,6883.474387
-7.387583,96,6992.703689
-5.493967,96,7102.591792
-5.505894,96,7211.653416
-5.444046,96,7321.232936
-5.936531,96,7430.171943
-5.501158,96,7539.275074
-5.988467,96,7649.087708
-5.044591,96,7758.271992
-5.219784,96,7867.207393
-5.838206,96,7976.407571
-6.060093,96,8085.603668
-6.027913,96,8194.281394
-5.769968,96,8545.2812
-6.278094,96,8656.927499
-5.010995,96,8768.319643
-5.855344,96,8879.693747
-5.48272,96,8990.764956
-5.90051,96,9102.432207
-5.102807,96,9213.757742
-5.383493,96,9325.167022
-5.999935,96,9437.478544
-5.940103,96,9549.195258
-5.467378,96,9660.69996
-4.92156,96,9772.902338
-5.862609,96,9860.330023
-5.496339,96,9953.958862
-5.107816,96,10046.795137
-5.282498,96,10139.462749
-5.994048,96,10232.832473
-6.071553,96,10325.854918
-5.478794,96,10418.413305
-4.405452,96,10511.867707
-4.384807,96,10604.988909
-6.340051,96,10697.585668
-5.923969,96,10790.529565
-6.242038,96,10883.944082
-6.056469,96,10977.130614
-7.077133,96,11070.234066
-5.130209,96,11163.263433
-5.992201,96,11256.224277
-5.106922,96,11348.70764
-4.906024,96,11440.895848
-6.435138,96,11503.585988
-4.964356,96,11565.428402
-5.06783,96,11627.58988
-6.574183,96,11689.885602
-4.943679,96,11753.798712
-4.898093,96,11816.383825
-4.822309,96,11878.760123
-4.721353,96,11942.820925
-4.887153,96,12008.021847
-4.764934,96,12074.225475
-5.467991,96,12140.928827
-4.611378,96,12207.770198
-6.133725,96,12273.877916
-5.155175,96,12339.492351
-4.933621,96,12406.016655
-4.971255,96,12472.084819
-4.200587,96,12537.914056
-5.848596,96,12604.094648
-4.518814,96,12669.8277
-4.823104,96,12735.822573
-4.695481,96,12801.510773
-5.592407,96,12867.372436
-4.614394,96,12933.27365
-4.917586,96,12999.372452
-5.065622,96,13066.044611
-4.691776,96,13131.763392
-4.241503,96,13197.595584
-4.217097,96,13263.538207
-4.888992,96,13329.283526
-4.584544,96,13396.421837
-4.280416,96,13462.588768
-4.758895,96,13528.812355
-5.979865,96,13595.276824
-5.432662,96,13661.21977
-4.376857,96,13727.391536
-4.441612,96,13793.39674
-3.38109,96,13858.890388
-5.65594,96,13925.291171
-5.011316,96,13991.101173
-3.966886,96,14059.251425
-4.904859,96,14130.448344
-3.269778,96,14227.405327
-2.944748,96,14323.595595
-3.58978,96,14419.652027
