#{"t_start": 1757778046.1925862, "env_id": "None"}
r,l,t
-10.496247,96,109.996371
-11.970152,96,179.677842
-9.958473,96,252.118351
-9.922016,96,320.075934
-11.130243,96,390.723489
-10.399874,96,460.145013
-11.832105,96,530.17529
-11.96075,96,599.984986
-10.674365,96,669.283945
-10.653227,96,739.241229
-9.8984,96,809.142581
-9.382564,96,880.439512
-8.561152,96,961.157294
-7.805152,96,1048.418948
-7.892913,96,1121.254497
-9.870671,96,1193.946407
-8.142027,96,1264.766096
-9.934294,96,1334.329563
-7.840846,96,1405.475432
-8.436961,96,1476.506296
-7.113395,96,1545.714989
-9.005359,96,1617.427378
-7.727456,96,1688.217011
-8.429054,96,1761.734281
-7.734355,96,1830.409838
-8.834494,96,1903.231541
-8.144939,96,1984.399718
-6.159202,96,2071.046098
-8.554962,96,2139.073532
-7.248176,96,2212.181574
-7.183249,96,2280.343762
-7.524946,96,2348.810935
-6.565592,96,2436.250643
-6.426891,96,2530.096925
-6.53607,96,2610.713033
-7.103845,96,2688.796892
-7.194672,96,2780.978331
-7.196101,96,2872.374766
-6.962111,96,2963.594136
-6.465686,96,3056.277813
-6.623204,96,3147.511709
-6.494435,96,3232.048841
-7.084111,96,3300.751199
-8.279376,96,3371.090836
-6.945999,96,3448.825459
-6.423179,96,3540.721832
-6.561585,96,3618.768415
-6.617223,96,3713.381118
-6.89312,96,3808.197237
-6.822104,96,3902.334332
-6.103096,96,3996.590069
-6.948191,96,4091.558537
-7.333551,96,4186.238872
-6.794627,96,4268.252629
-7.160816,96,4336.30621
-7.217073,96,4407.158787
-6.527625,96,4476.849414
-6.036733,96,4546.13362
-6.618933,96,4615.207779
-5.887209,96,4684.070971
-5.833283,96,4752.894413
-7.467779,96,4821.976291
-5.905465,96,4889.441267
-7.368517,96,4956.541216
-6.385932,96,5024.829596
-5.773386,96,5095.000005
-6.981276,96,5164.508776
-6.695569,96,5228.255915
-5.517387,96,5291.111997
-6.456645,96,5356.627915
-5.965255,96,5423.383455
-7.048095,96,5490.241883
-6.036272,96,5559.289221
-5.651983,96,5628.269262
-6.07765,96,5698.840467
-5.528381,96,5768.364259
-6.542334,96,5837.881789
-5.7512,96,5931.201339
-6.960597,96,6025.190639
-6.112271,96,6119.465902
-6.066919,96,6214.384747
-6.102703,96,6296.332321
-7.040281,96,6386.707671
-5.725328,96,6479.041176
-6.375725,96,6570.589357
-5.637178,96,6665.144597
-5.983063,96,6773.892736
-5.976744,96,6883.018417
-5.701753,96,6992.322119
-6.730769,96,7102.208411
-6.456411,96,7211.329843
-6.48051,96,7320.712102
-5.666137,96,7429.791717
-5.887595,96,7538.823756
-6.773502,96,7648.448351
-5.753187,96,7757.789746
-4.720072,96,7866.760938
-5.383654,96,7975.781551
-5.331065,96,8085.062924
-5.466995,96,8193.755867
-4.522887,96,8544.699894
-5.76079,96,8656.484759
-5.746376,96,8767.77531
-5.137633,96,8879.224962
-6.395749,96,8990.331446
-4.565572,96,9101.930398
-5.611418,96,9213.283961
-4.919938,96,9324.739052
-6.01452,96,9436.940585
-6.539672,96,9548.750323
-6.707327,96,9660.240428
-5.838882,96,9772.245838
-5.975426,96,9859.765181
-5.342029,96,9953.521584
-5.063834,96,10046.371697
-6.640712,96,10138.955312
-6.020808,96,10232.415996
-5.529775,96,10325.32612
-6.170591,96,10417.868882
-5.693156,96,10511.364929
-5.40324,96,10604.605671
-5.857958,96,10697.043358
-4.778193,96,10790.116914
-5.061918,96,10883.491019
-6.073217,96,10976.824468
-4.663153,96,11069.688153
-4.535827,96,11162.813082
-4.675896,96,11255.688308
-4.826855,96,11348.184922
-5.91504,96,11440.322595
-6.507091,96,11503.145451
-5.153126,96,11565.023516
-5.243993,96,11627.097681
-5.565124,96,11689.520689
-5.52003,96,11753.36845
-5.787593,96,11815.971586
-5.907014,96,11878.167416
-5.799362,96,11942.483325
-4.862969,96,12007.518944
-5.078747,96,12073.763871
-5.70097,96,12140.474011
-4.249856,96,12207.225953
-5.371567,96,12273.331841
-4.493562,96,12339.013561
-5.156467,96,12405.691087
-4.459178,96,12471.514353
-5.31345,96,12537.414734
-4.884761,96,12603.527513
-4.810646,96,12669.433585
-5.652299,96,12735.307449
-4.773893,96,12801.189225
-3.89152,96,12866.96251
-3.74157,96,12932.839035
-4.038545,96,12998.957855
-4.91131,96,13065.564453
-4.487266,96,13131.280522
-4.057412,96,13197.034032
-5.250091,96,13263.055969
-5.901367,96,13329.047587
-4.048388,96,13395.877193
-5.379817,96,13462.113993
-4.811628,96,13528.464673
-3.127821,96,13594.592153
-4.83289,96,13660.805519
-4.662803,96,13726.89624
-4.444806,96,13792.825084
-4.891965,96,13858.548568
-4.516751,96,13924.853496
-4.684241,96,13990.722129
-4.642669,96,14058.698878
-5.655081,96,14130.016742
-4.805867,96,14226.872399
-5.352029,96,14323.197859
-2.843116,96,14419.298971
