#{"t_start": 1757778044.4935749, "env_id": "None"}
r,l,t
-12.829766,96,111.688367
-12.905407,96,181.498367
-11.815858,96,253.814782
-11.924316,96,321.85628
-13.205069,96,392.464159
-9.705901,96,461.897914
-10.803217,96,531.834447
-9.774197,96,601.613428
-11.064089,96,671.025797
-9.577429,96,740.89002
-8.583134,96,810.931003
-9.913946,96,882.146968
-9.299406,96,962.844125
-9.036029,96,1050.041039
-9.262244,96,1123.007871
-9.11786,96,1195.447306
-9.919542,96,1266.446878
-8.746958,96,1336.048714
-8.717645,96,1407.223992
-8.340802,96,1478.288555
-9.355457,96,1547.216672
-7.21679,96,1619.0802
-8.911061,96,1689.718393
-7.877398,96,1763.422104
-7.109537,96,1832.131298
-7.277974,96,1904.929283
-7.88211,96,1986.041925
-8.493248,96,2072.730217
-7.538713,96,2140.756475
-6.332627,96,2213.867648
-7.206804,96,2282.128249
-7.533357,96,2350.60567
-7.072887,96,2437.933602
-7.380402,96,2531.704966
-7.069543,96,2612.460239
-7.599356,96,2690.526469
-7.07521,96,2782.738886
-7.163621,96,2874.053844
-7.388427,96,2965.175877
-7.265119,96,3058.042431
-7.487319,96,3149.160536
-6.732535,96,3233.783259
-5.896078,96,3302.509126
-7.813984,96,3372.759118
-7.145503,96,3450.596318
-6.540448,96,3542.497626
-6.577166,96,3620.449739
-6.884227,96,3715.071536
-5.985422,96,3809.886364
-6.880656,96,3904.12393
-7.037491,96,3998.274596
-5.930829,96,4093.463658
-6.669507,96,4187.963198
-6.733386,96,4269.892789
-6.340345,96,4337.97436
-6.311067,96,4408.967154
-6.713731,96,4478.474236
-7.5509,96,4547.84016
-6.13525,96,4616.785306
-6.665433,96,4685.865336
-7.557584,96,4754.572821
-6.581209,96,4823.670294
-6.666256,96,4891.251107
-6.642964,96,4958.322239
-6.173354,96,5026.506888
-7.371171,96,5096.686878
-5.978696,96,5166.131676
-6.942393,96,5229.980867
-6.725537,96,5292.766433
-6.047039,96,5358.277547
-7.06227,96,5425.105813
-6.970847,96,5491.924796
-6.529294,96,5560.964268
-6.662871,96,5629.991574
-5.69261,96,5700.486178
-6.500384,96,5770.027541
-6.663035,96,5839.58408
-6.080097,96,5932.82162
-5.673853,96,6026.922351
-6.845382,96,6121.209458
-6.153751,96,6216.02056
-5.994976,96,6298.048183
-6.715439,96,6388.426934
-6.754101,96,6480.734138
-5.869796,96,6572.188487
-5.441087,96,6666.812948
-6.19069,96,6775.619747
-5.780195,96,6884.819665
-5.999727,96,6993.921762
-6.25883,96,7103.881271
-5.647686,96,7213.011151
-6.454369,96,7322.399703
-5.848279,96,7431.56613
-4.932372,96,7540.559375
-5.193883,96,7650.282187
-5.747688,96,7759.45984
-5.157167,96,7868.536786
-5.318121,96,7977.606125
-5.678607,96,8086.787923
-5.408447,96,8195.47511
-4.61384,96,8546.397908
-5.322417,96,8658.105624
-6.501343,96,8769.524527
-5.31632,96,8880.950327
-5.02762,96,8992.114816
-5.080874,96,9103.545654
-6.215295,96,9214.922333
-5.282002,96,9326.392253
-5.26752,96,9438.71075
-5.250285,96,9550.309592
-6.302979,96,9661.958265
-5.247564,96,9774.015889
-5.152453,96,9861.606137
-4.057431,96,9955.359885
-6.066399,96,10048.050452
-6.522458,96,10140.746313
-6.15763,96,10234.115008
-5.640994,96,10327.035304
-6.165749,96,10419.638535
-5.402303,96,10513.074129
-4.95435,96,10606.248726
-5.886273,96,10698.794247
-5.064132,96,10791.754796
-5.93744,96,10885.046054
-5.407836,96,10978.366028
-5.768135,96,11071.420158
-5.530296,96,11164.542904
-5.498047,96,11257.418617
-5.061458,96,11349.729272
-5.205958,96,11441.988533
-5.059464,96,11504.885052
-4.988651,96,11566.549136
-5.245955,96,11628.744156
-5.27616,96,11691.120924
-5.221798,96,11755.1366
-5.273349,96,11817.653725
-5.661007,96,11880.029902
-4.285656,96,11944.045156
-5.734147,96,12009.239192
-5.072114,96,12075.473621
-4.984912,96,12142.220826
-4.879418,96,12208.894746
-4.645036,96,12275.079603
-5.372941,96,12340.744807
-4.516773,96,12407.312674
-4.816549,96,12473.321778
-4.730673,96,12539.068928
-5.94895,96,12605.211249
-5.384381,96,12670.96644
-4.692827,96,12736.978638
-6.196529,96,12802.832805
-5.084869,96,12868.611479
-5.078221,96,12934.514232
-5.098191,96,13000.5454
-4.971115,96,13067.269842
-4.599964,96,13132.989619
-5.084342,96,13198.92506
-4.184068,96,13264.749982
-4.952053,96,13330.663976
-4.916958,96,13397.721686
-4.749746,96,13463.844277
-4.133799,96,13530.150769
-4.539225,96,13596.488379
-4.937064,96,13662.472937
-4.82723,96,13728.514393
-5.44618,96,13794.415891
-4.785987,96,13860.213841
-4.93809,96,13926.53151
-3.585308,96,13992.442197
-4.803399,96,14060.406642
-5.409169,96,14131.628029
-5.029052,96,14228.554977
-4.592953,96,14324.891982
-4.844267,96,14421.069869
