#{"t_start": 1757778045.900831, "env_id": "None"}
r,l,t
-11.39647,96,110.25201
-12.242492,96,179.960385
-11.476252,96,252.417107
-10.577255,96,320.39162
-10.740324,96,390.885191
-10.587119,96,460.462459
-10.261058,96,530.45599
-10.099638,96,600.301855
-9.879267,96,669.616555
-10.437691,96,739.536003
-10.460852,96,809.406136
-9.066322,96,880.70143
-10.529837,96,961.530908
-8.980537,96,1048.691699
-8.304309,96,1121.537427
-9.342629,96,1194.22074
-7.288241,96,1265.032123
-7.771519,96,1334.678708
-8.848288,96,1405.84138
-8.461862,96,1476.839409
-8.240791,96,1545.907497
-7.846709,96,1617.638933
-8.537401,96,1688.47191
-6.710652,96,1762.005624
-7.924946,96,1830.831205
-7.840633,96,1903.438621
-5.85082,96,1984.681801
-6.938686,96,2071.388879
-6.99007,96,2139.28571
-8.015048,96,2212.4433
-8.604536,96,2280.635518
-6.807265,96,2349.113475
-7.688937,96,2436.526346
-7.872948,96,2530.459113
-7.89429,96,2611.049744
-6.606024,96,2689.170426
-7.185529,96,2781.219696
-7.005108,96,2872.660428
-6.760906,96,2963.823033
-6.420843,96,3056.578693
-7.518362,96,3147.715061
-7.059822,96,3232.33418
-6.891881,96,3301.115864
-6.446624,96,3371.327824
-7.617711,96,3449.02849
-7.368258,96,3540.954046
-6.963429,96,3619.039999
-6.995714,96,3713.659151
-6.510708,96,3808.488992
-7.166514,96,3902.740553
-6.768661,96,3996.918231
-6.010934,96,4091.897004
-6.77432,96,4186.553154
-6.478152,96,4268.523805
-7.294252,96,4336.577366
-6.749918,96,4407.549026
-7.437866,96,4477.037473
-6.203657,96,4546.321327
-7.022238,96,4615.388252
-7.224054,96,4684.385101
-6.557694,96,4753.197443
-6.462754,96,4822.234046
-7.337273,96,4889.724773
-7.375897,96,4956.940994
-5.668042,96,5025.12036
-6.331544,96,5095.236863
-6.278722,96,5164.817834
-6.004049,96,5228.634485
-6.050403,96,5291.440754
-6.860958,96,5356.898585
-6.365827,96,5423.67521
-6.191936,96,5490.56234
-6.40212,96,5559.691301
-7.589087,96,5628.49896
-7.340226,96,5699.137221
-5.745886,96,5768.604644
-5.308801,96,5838.17277
-6.832771,96,5931.414363
-6.545478,96,6025.550962
-5.728462,96,6119.738984
-6.544513,96,6214.669109
-6.182787,96,6296.673523
-5.60224,96,6387.019678
-6.225247,96,6479.375918
-5.943744,96,6570.952183
-7.119075,96,6665.419913
-6.665888,96,6774.202234
-5.277754,96,6883.294384
-6.63205,96,6992.626058
-6.08296,96,7102.571764
-5.550416,96,7211.601158
-4.74896,96,7321.083789
-5.793222,96,7430.158874
-4.90671,96,7539.05314
-5.450058,96,7648.814227
-5.084964,96,7758.173117
-6.386808,96,7867.089155
-5.130429,96,7976.022378
-5.611802,96,8085.401228
-6.584796,96,8194.075678
-5.082071,96,8545.052897
-6.16469,96,8656.714588
-6.073213,96,8768.137618
-5.754024,96,8879.389967
-5.393605,96,8990.623202
-5.625002,96,9102.250181
-5.229278,96,9213.48449
-5.771691,96,9325.036816
-5.105977,96,9437.160569
-5.904317,96,9548.912339
-5.187182,96,9660.574588
-5.169363,96,9772.608633
-5.949063,96,9860.118332
-5.261605,96,9953.819338
-5.946879,96,10046.607056
-6.379168,96,10139.227016
-5.948546,96,10232.72186
-5.347557,96,10325.682988
-5.610505,96,10418.200598
-6.068168,96,10511.626067
-5.937209,96,10604.831149
-5.177235,96,10697.412668
-5.004349,96,10790.378128
-5.372936,96,10883.687688
-4.291445,96,10977.043754
-5.025182,96,11070.052041
-5.709344,96,11163.057057
-4.908636,96,11255.909767
-4.689823,96,11348.535799
-5.174281,96,11440.695442
-4.955395,96,11503.365009
-5.70748,96,11565.27275
-5.312989,96,11627.320295
-4.963703,96,11689.739082
-5.885434,96,11753.703814
-4.681101,96,11816.252434
-5.055025,96,11878.556189
-4.691165,96,11942.636898
-5.146155,96,12007.846736
-5.88012,96,12074.052162
-6.362904,96,12140.797344
-4.674821,96,12207.580826
-4.706242,96,12273.874232
-4.590115,96,12339.172525
-5.269623,96,12405.919769
-4.552733,96,12471.893779
-4.731411,96,12537.507827
-5.016071,96,12603.805959
-4.436201,96,12669.677418
-5.315509,96,12735.613757
-4.630304,96,12801.363549
-5.367821,96,12867.262831
-4.555496,96,12933.022369
-4.727391,96,12999.180281
-5.286808,96,13065.780774
-5.00604,96,13131.504494
-5.097472,96,13197.516774
-4.924987,96,13263.313968
-4.565863,96,13329.248006
-4.49715,96,13396.205411
-4.288042,96,13462.326866
-5.085908,96,13528.623248
-4.823319,96,13595.039648
-4.243749,96,13660.974688
-4.585711,96,13726.957877
-4.681678,96,13793.148718
-3.957525,96,13858.820374
-5.86732,96,13925.112715
-4.425819,96,13990.997345
-4.243994,96,14059.064603
-4.424898,96,14130.16206
-4.406042,96,14227.223302
-4.565456,96,14323.405119
-4.808655,96,14419.697604
