#{"t_start": 1757778045.9982681, "env_id": "None"}
r,l,t
-11.815245,96,110.183674
-11.526611,96,179.870143
-12.298319,96,252.300658
-10.649649,96,320.359303
-11.748151,96,390.860878
-12.111751,96,460.380719
-10.623386,96,530.292349
-10.019169,96,600.179304
-8.99324,96,669.495453
-9.634784,96,739.39337
-9.495176,96,809.247333
-9.381318,96,880.794501
-9.974663,96,961.237249
-8.349205,96,1048.611269
-8.840152,96,1121.458487
-9.662603,96,1194.11822
-8.745317,96,1264.958418
-9.119884,96,1334.675759
-9.194621,96,1405.718282
-9.850147,96,1476.727904
-8.922266,96,1545.866321
-7.744168,96,1617.607078
-7.634145,96,1688.333839
-8.123181,96,1761.9019
-7.24218,96,1830.65275
-8.669846,96,1903.43586
-7.479846,96,1984.608191
-8.134585,96,2071.302613
-6.723205,96,2139.183098
-7.206385,96,2212.320978
-7.952606,96,2280.642457
-7.071487,96,2348.999547
-7.238569,96,2436.394061
-7.297545,96,2530.309786
-8.021278,96,2610.918127
-7.689058,96,2688.99121
-6.787364,96,2781.132337
-7.720256,96,2872.599409
-7.65427,96,2963.724728
-7.460263,96,3056.520964
-6.520494,96,3147.655843
-6.106712,96,3232.216955
-6.56774,96,3300.800217
-6.234763,96,3371.295474
-6.359393,96,3449.067679
-6.259502,96,3540.91415
-7.320841,96,3618.914459
-6.901265,96,3713.566843
-6.842259,96,3808.444913
-6.875358,96,3902.645215
-7.380103,96,3996.818054
-7.31757,96,4091.828185
-6.508242,96,4186.425886
-6.866955,96,4268.394715
-6.782681,96,4336.525778
-6.025829,96,4407.436566
-6.909406,96,4476.978596
-7.44805,96,4546.433872
-5.661733,96,4615.360672
-7.180679,96,4684.3642
-6.73412,96,4753.102156
-6.397231,96,4822.131938
-5.96006,96,4889.668535
-5.580752,96,4956.793044
-7.126583,96,5025.015741
-6.225742,96,5095.158223
-6.701087,96,5164.709502
-6.92308,96,5228.538061
-6.597897,96,5291.366514
-5.863863,96,5356.756213
-6.126829,96,5423.568358
-6.516824,96,5490.486541
-6.579519,96,5559.517891
-6.733571,96,5628.453717
-5.858596,96,5698.991601
-6.117802,96,5768.607483
-7.334756,96,5838.121455
-5.777974,96,5931.276508
-6.873504,96,6025.384957
-6.424281,96,6119.685919
-4.85701,96,6214.533416
-5.994377,96,6296.666826
-5.478305,96,6387.017142
-5.586829,96,6479.382872
-5.311364,96,6570.685813
-6.609205,96,6665.428309
-6.06318,96,6773.991886
-6.301462,96,6883.253946
-5.888425,96,6992.473987
-5.766695,96,7102.341662
-5.932592,96,7211.468716
-6.61046,96,7321.006138
-5.896489,96,7429.973872
-5.193936,96,7539.229291
-6.278504,96,7648.787633
-5.190429,96,7758.01382
-6.100281,96,7866.991718
-5.939085,96,7976.101432
-7.181623,96,8085.233052
-5.61643,96,8193.946129
-5.876217,96,8545.046727
-5.39112,96,8656.689334
-6.392307,96,8768.058827
-5.728975,96,8879.403779
-6.289292,96,8990.485493
-6.540372,96,9102.059979
-4.870454,96,9213.531627
-5.021296,96,9324.927381
-6.076589,96,9437.246238
-7.04041,96,9548.897644
-6.53672,96,9660.448569
-6.332314,96,9772.484297
-5.232797,96,9860.101443
-5.262736,96,9953.746346
-5.618895,96,10046.606574
-4.970777,96,10139.062069
-4.774664,96,10232.567213
-5.933743,96,10325.506256
-5.581941,96,10418.053128
-5.795533,96,10511.626988
-6.336212,96,10604.73169
-5.34679,96,10697.347277
-5.032758,96,10790.272372
-4.915988,96,10883.606447
-6.665239,96,10976.975024
-5.670367,96,11070.016768
-5.148722,96,11163.131083
-5.112217,96,11255.944814
-6.62716,96,11348.335991
-4.593737,96,11440.545751
-5.571975,96,11503.281416
-5.714894,96,11565.217834
-4.193098,96,11627.210439
-4.428132,96,11689.635468
-5.731628,96,11753.61991
-4.807253,96,11816.134654
-4.894398,96,11878.433722
-4.410824,96,11942.501127
-5.242848,96,12007.809854
-5.398397,96,12073.962128
-4.917092,96,12140.758755
-4.476274,96,12207.467034
-4.923106,96,12273.726486
-4.187275,96,12339.118165
-5.256459,96,12405.7607
-5.481468,96,12471.730333
-4.437597,96,12537.54161
-5.118119,96,12603.823507
-4.869871,96,12669.638195
-5.229462,96,12735.465422
-5.687566,96,12801.364203
-4.322555,96,12867.0472
-5.248507,96,12933.016066
-5.382067,96,12999.157056
-3.991076,96,13065.809929
-4.381332,96,13131.544417
-6.047559,96,13197.352414
-4.316106,96,13263.345908
-5.095408,96,13329.03351
-4.485816,96,13396.310493
-4.552227,96,13462.325467
-4.055771,96,13528.564711
-5.655112,96,13594.882732
-4.107606,96,13660.83588
-5.23815,96,13727.123554
-4.428735,96,13793.003957
-5.07002,96,13858.684308
-4.480145,96,13925.066811
-4.688556,96,13990.895702
-3.869956,96,14058.962029
-2.991415,96,14130.186569
-4.936311,96,14227.099804
-3.531784,96,14323.239547
-3.493393,96,14419.528822
