#{"t_start": 1757778045.8296347, "env_id": "None"}
r,l,t
-12.733772,96,110.360322
-12.113419,96,180.121932
-11.129075,96,252.357128
-11.98542,96,320.52022
-12.006604,96,390.963883
-10.125637,96,460.610877
-9.795063,96,530.581173
-10.528293,96,600.410877
-10.394699,96,669.700779
-9.385839,96,739.545874
-10.757529,96,809.512779
-9.095476,96,880.81915
-9.013035,96,961.460675
-9.975701,96,1048.801576
-9.479361,96,1121.625114
-10.734185,96,1194.305355
-8.776365,96,1265.073965
-7.862603,96,1334.666101
-7.635798,96,1405.898371
-8.08713,96,1476.879518
-7.085284,96,1545.98908
-7.405759,96,1617.821632
-6.303433,96,1688.545145
-9.025389,96,1762.120471
-8.911906,96,1830.894427
-8.273465,96,1903.565781
-7.590696,96,1984.796037
-7.884627,96,2071.343843
-7.547789,96,2139.380662
-7.7489,96,2212.539585
-7.486943,96,2280.840162
-7.65721,96,2349.212291
-7.592389,96,2436.449897
-8.99676,96,2530.402761
-6.820481,96,2611.104752
-6.857527,96,2689.251826
-6.209454,96,2781.321153
-7.303455,96,2872.73366
-7.579247,96,2963.860293
-6.479143,96,3056.695419
-7.026221,96,3147.930067
-6.911239,96,3232.522597
-6.768882,96,3301.087167
-6.760798,96,3371.50774
-6.36123,96,3449.180104
-7.204629,96,3541.191562
-8.090143,96,3619.012913
-7.264519,96,3713.603878
-6.647709,96,3808.567663
-6.167247,96,3902.687114
-6.52974,96,3996.808346
-6.564271,96,4092.026988
-7.104934,96,4186.53429
-6.591899,96,4268.629947
-6.699642,96,4336.534767
-6.82668,96,4407.616222
-6.966628,96,4477.170142
-7.358696,96,4546.463139
-5.752178,96,4615.505503
-6.4366,96,4684.480748
-5.981701,96,4753.259362
-6.094272,96,4822.262788
-5.764951,96,4889.7705
-6.252799,96,4956.984694
-6.543642,96,5025.178477
-6.535888,96,5095.327805
-6.664781,96,5164.877126
-7.340202,96,5228.580991
-7.338664,96,5291.524163
-5.388,96,5356.988867
-6.249031,96,5423.702295
-6.47241,96,5490.580139
-6.259488,96,5559.704762
-6.535736,96,5628.627195
-5.940162,96,5699.175951
-6.244944,96,5768.736107
-5.259201,96,5838.222345
-6.234067,96,5931.429071
-5.608558,96,6025.629654
-6.669658,96,6119.889995
-6.277982,96,6214.653821
-6.821628,96,6296.766922
-5.884565,96,6387.072638
-6.212803,96,6479.447114
-6.808686,96,6570.760571
-6.272996,96,6665.566626
-5.166874,96,6774.283688
-5.84728,96,6883.361535
-6.273317,96,6992.673784
-5.587804,96,7102.601946
-5.688006,96,7211.67032
-5.943051,96,7321.122107
-5.675931,96,7430.14859
-5.540752,96,7539.208081
-5.292089,96,7648.931932
-5.253342,96,7758.156754
-5.41073,96,7867.174586
-5.497176,96,7976.195523
-5.396489,96,8085.445799
-5.891671,96,8194.170565
-5.080637,96,8545.19484
-5.488572,96,8656.727514
-5.84977,96,8768.124097
-6.921128,96,8879.512173
-5.253109,96,8990.654127
-5.736787,96,9102.22659
-6.495781,96,9213.770091
-4.720627,96,9325.008395
-5.132826,96,9437.355098
-5.331532,96,9548.983536
-5.842122,96,9660.583058
-4.4409,96,9772.720556
-5.175608,96,9860.231401
-5.573837,96,9953.814578
-6.197012,96,10046.744685
-6.049359,96,10139.286137
-6.230998,96,10232.72976
-4.764309,96,10325.764393
-6.387716,96,10418.28163
-4.929392,96,10511.879764
-6.333001,96,10604.754968
-6.09483,96,10697.605458
-4.774818,96,10790.53133
-4.661602,96,10883.685748
-4.993986,96,10977.101954
-6.4277,96,11070.143574
-6.046618,96,11163.196523
-6.242857,96,11256.123965
-5.150423,96,11348.535415
-5.029796,96,11440.783366
-5.227688,96,11503.552114
-4.54428,96,11565.366774
-5.337853,96,11627.482048
-6.517617,96,11689.848141
-4.770833,96,11753.798544
-5.372836,96,11816.255629
-5.795479,96,11878.671471
-4.613369,96,11942.694767
-5.704117,96,12007.811864
-5.359646,96,12074.150178
-6.328704,96,12140.785152
-5.407142,96,12207.511653
-4.576549,96,12273.773332
-5.114415,96,12339.335361
-6.087871,96,12405.85904
-5.516102,96,12471.923979
-5.311305,96,12537.820886
-4.391042,96,12603.967101
-4.529422,96,12669.698276
-5.642872,96,12735.621247
-4.973354,96,12801.576448
-4.470615,96,12867.201706
-4.454427,96,12933.15267
-5.895748,96,12999.181578
-4.885982,96,13065.981557
-4.956187,96,13131.590415
-4.501652,96,13197.60144
-5.629374,96,13263.484
-4.965139,96,13329.294317
-4.964907,96,13396.338809
-4.490653,96,13462.511679
-4.537806,96,13528.842117
-3.809791,96,13595.152319
-5.13968,96,13661.104618
-4.508791,96,13727.220568
-5.195502,96,13793.194127
-4.596537,96,13858.749079
-5.543543,96,13925.322731
-4.16913,96,13991.007106
-4.604967,96,14059.112251
-4.127982,96,14130.376455
-5.22385,96,14227.186005
-4.735765,96,14323.603163
-5.312874,96,14419.569494
