,electrical_baseload_households,thermal_energy_demand_households,electrical_baseload_business,thermal_energy_demand_business,electrical_baseload,thermal_energy_demand,pv_gen_PV_1,hp_cop_HP_Ground,hp_cop_HP_Air,price_el,co2_el,cost,co2,grid_generator_kW,natural_gas_generator_kW,district_heating_generator_kW,grid_feed-in_kW,PV_1_pv_generator_kW,electrical_load_kW,thermal_load_kW,battery_storage_kW,DRL_overflow_kW,grid_demand_link_p0_kW,grid_feed-in_link_p0_kW,battery_charge_p0_kW,battery_discharge_p0_kW,HP_Ground_heat_pump_p0_kW,HP_Air_heat_pump_p0_kW,DRL_overflow_link_bat_charge_p0_kW,DRL_overflow_link_bat_discharge_p0_kW,grid_demand_link_p1_kW,grid_feed-in_link_p1_kW,battery_charge_p1_kW,battery_discharge_p1_kW,HP_Ground_heat_pump_p1_kW,HP_Air_heat_pump_p1_kW,DRL_overflow_link_bat_charge_p1_kW,DRL_overflow_link_bat_discharge_p1_kW,battery_storage_kWh,DRL_overflow_kWh
2015-10-11 00:00:00,0.652803397841685,1.6414522588140246,0.52639909985754,0.5289200808324546,1.179202497699225,2.1703723396464794,0.0,2.9166291936,2.1928407520000004,16.16377,235.1,-0.0,-0.0,0.0,-0.0,-0.0,96.07666028238515,-0.0,1.179202497699225,2.1703723396464794,100.0,0.0,-0.0,96.07666028238515,-0.0,100.0,0.7441372199148517,-0.0,-0.0,-0.0,0.0,-96.07666028238515,0.0,-98.0,-2.170372339648,0.0,0.0,0.0,71.75,1000000.0
2015-10-11 00:15:00,0.6384033228892949,1.6686702171872163,0.5175991149055099,0.5376904393156458,1.1560024377948048,2.206360656502862,0.0,2.9039614966,2.1833235870000003,16.16377,235.1,-0.0,-0.0,0.0,-0.0,-0.0,96.08422142223546,-0.0,1.1560024377948048,2.206360656502862,100.0,0.0,-0.0,96.08422142223546,-0.0,100.0,0.7597761399685358,-0.0,-0.0,-0.0,0.0,-96.08422142223546,0.0,-98.0,-2.206360656504,0.0,0.0,0.0,46.74992825,1000000.0
2015-10-11 00:30:00,0.6282032697980251,1.695888175560408,0.5131991224294999,0.5464607977988369,1.141402392227525,2.242348973359245,0.0,2.8912937995999997,2.173806422,16.16377,235.1,-0.0,-0.0,0.0,-0.0,-0.0,96.0830455093757,-0.0,1.141402392227525,2.242348973359245,100.0,0.0,-0.0,96.0830455093757,-0.0,100.0,0.775552098396303,-0.0,-0.0,-0.0,0.0,-96.0830455093757,0.0,-98.0,-2.24234897336,0.0,0.0,0.0,21.74988150007175,1000000.0
2015-10-11 00:45:00,0.62100323232183,1.7231061339335996,0.5119991244815001,0.5552311562820282,1.13300235680333,2.278337290215628,0.0,2.8786261025999997,2.164289257,16.16377,235.1,-0.0,-0.0,0.0,-0.0,-0.0,83.33498095958828,-0.0,1.13300235680333,2.278337290215628,86.999439000761,0.0,-0.0,83.33498095958828,-0.0,86.999439000761,0.7914669043534991,-0.0,-0.0,-0.0,0.0,-83.33498095958828,0.0,-85.25945022074578,-2.2783372902159997,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 01:00:00,0.6168032104607101,1.7503240923067913,0.5167991162735099,0.5640015147652194,1.13360232673422,2.3143256070720106,0.0,2.8659584056,2.154772092,11.748869999999998,235.3,5.701505514060851,114.18666199034618,1.941124725717742,-0.0,-0.0,0.0,-0.0,1.13360232673422,2.3143256070720106,0.0,0.0,1.941124725717742,-0.0,-0.0,-0.0,0.8075223989817419,-0.0,-0.0,-0.0,-1.941124725717742,0.0,0.0,0.0,-2.314325607072,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 01:15:00,0.6168032104607101,1.7670736051518325,0.52839909643755,0.5693986584471833,1.14520230689826,2.336472263599016,0.0,2.8451867345499995,2.1392094247499998,11.748869999999998,235.3,5.7757563441065525,115.67371736756574,1.9664040351477388,-0.0,-0.0,0.0,-0.0,1.14520230689826,2.336472263599016,0.0,0.0,1.9664040351477388,-0.0,-0.0,-0.0,0.8212017282477387,-0.0,-0.0,-0.0,-1.9664040351477388,0.0,0.0,0.0,-2.3364722635999997,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 01:30:00,0.61800321670674,1.7838231179968735,0.5479990629216,0.574795802129147,1.16600227962834,2.3586189201260206,0.0,2.8244150634999996,2.1236467574999995,11.748869999999998,235.3,5.877620534725723,117.71379816279888,2.0010845416540395,-0.0,-0.0,0.0,-0.0,1.16600227962834,2.3586189201260206,0.0,0.0,2.0010845416540395,-0.0,-0.0,-0.0,0.8350822620260394,-0.0,-0.0,-0.0,-2.0010845416540395,0.0,0.0,0.0,-2.3586189201279995,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 01:45:00,0.62100323232183,1.8005726308419145,0.5763990143576899,0.5801929458111109,1.1974022466795198,2.3807655766530256,0.0,2.8036433924499997,2.1080840902499998,11.748869999999998,235.3,6.011223330996946,120.38952254843076,2.0465707190553464,-0.0,-0.0,0.0,-0.0,1.1974022466795198,2.3807655766530256,0.0,0.0,2.0465707190553464,-0.0,-0.0,-0.0,0.8491684723753463,-0.0,-0.0,-0.0,-2.0465707190553464,0.0,0.0,0.0,-2.3807655766519997,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 02:00:00,0.622803241690875,1.8173221436869558,0.60959895758578,0.5855900894930748,1.232402199276655,2.4029122331800306,0.0,2.7828717213999994,2.0925214229999995,9.571169999999999,234.72,5.014975231385137,122.98548519258559,2.095867164154492,-0.0,-0.0,0.0,-0.0,1.232402199276655,2.4029122331800306,0.0,0.0,2.095867164154492,-0.0,-0.0,-0.0,0.8634649648784922,-0.0,-0.0,-0.0,-2.095867164154492,0.0,0.0,0.0,-2.4029122331799995,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 02:15:00,0.62700326355198,1.88432019506712,0.64359889944588,0.60717866422093,1.2706021629978599,2.49149885928805,0.0,2.7755377653999993,2.0870400029999994,9.571169999999999,234.72,5.188209742643085,127.23382729521941,2.1682656321612033,-0.0,-0.0,0.0,-0.0,1.2706021629978599,2.49149885928805,0.0,0.0,2.1682656321612033,-0.0,-0.0,-0.0,0.8976634691652031,-0.0,-0.0,-0.0,-2.1682656321612033,0.0,0.0,0.0,-2.491498859287999,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 02:30:00,0.634203301028175,1.951318246447284,0.67199885088196,0.6287672389487853,1.306202151910135,2.5800854853960695,0.0,2.768203809399999,2.0815585829999996,9.571169999999999,234.72,5.355656646812009,131.34023616127547,2.2382453333550694,-0.0,-0.0,0.0,-0.0,1.306202151910135,2.5800854853960695,0.0,0.0,2.2382453333550694,-0.0,-0.0,-0.0,0.9320431814430693,-0.0,-0.0,-0.0,-2.2382453333550694,0.0,0.0,0.0,-2.580085485395999,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 02:45:00,0.643803350996445,2.0183162978274485,0.6927988153140301,0.6503558136766406,1.3366021663104752,2.668672111504089,0.0,2.760869853399999,2.076077163,9.571169999999999,234.72,5.5110981394625425,135.15222854621203,2.303207712103136,-0.0,-0.0,0.0,-0.0,1.3366021663104752,2.668672111504089,0.0,0.0,2.303207712103136,-0.0,-0.0,-0.0,0.9666055457911358,-0.0,-0.0,-0.0,-2.303207712103136,0.0,0.0,0.0,-2.6686721115039993,0.0,0.0,0.0,-0.0,1000000.0
2015-10-11 03:00:00,0.6642034571789999,2.0853143492076125,0.7071987906900701,0.6719443884044959,1.37140224786907,2.7572587376121085,0.0,2.753535897399999,2.0705957429999997,8.916669999999998,235.56,228.20601670314807,6028.731498933298,102.37275426954149,-0.0,-0.0,0.0,-0.0,1.37140224786907,2.7572587376121085,-97.99999999999986,0.0,102.37275426954149,-0.0,100.0,-0.0,1.0013520216734837,-0.0,-0.0,-0.0,-102.37275426954149,0.0,-98.0,0.0,-2.7572587376119992,0.0,0.0,0.0,24.499999999999964,1000000.0
